episode,reward,steps,actor_loss,critic_loss,entropy,moving_avg_100,elapsed_s
253,-118.37,122,-0.01386,75.07265,1.38629,-173.87,69.7
254,-76.77,67,-0.01386,48.73022,1.38628,-172.55,69.9
255,-70.1,72,-0.01386,50.7909,1.38629,-173.4,70.1
256,-225.68,78,-0.01386,43.82609,1.38629,-174.43,70.3
257,-115.68,98,-0.01386,24.15852,1.38629,-172.44,70.5
258,-309.58,106,-0.01386,41.42319,1.38629,-171.61,70.8
259,-140.67,118,-0.01386,16.14057,1.38629,-171.64,71.1
260,-78.2,69,-0.01386,24.5984,1.38629,-171.11,71.2
261,-215.22,96,-0.01386,27.85771,1.38629,-168.56,71.5
262,-205.81,67,-0.01386,45.24219,1.38629,-167.21,71.7
263,-54.75,59,-0.01386,51.39617,1.38629,-165.39,71.8
264,-79.94,72,-0.01386,43.64546,1.38629,-166.28,72.0
265,-33.21,73,-0.01386,43.98395,1.38629,-165.74,72.2
266,-293.41,80,-0.01386,106.75068,1.38629,-167.6,72.4
267,-340.88,95,-0.01386,67.45086,1.38629,-169.11,72.6
268,-107.49,75,-0.01386,15.38425,1.38629,-167.09,72.8
269,-93.69,73,-0.01386,21.63784,1.38629,-165.91,73.0
270,-123.4,78,-0.01386,15.78572,1.38629,-165.72,73.2
271,-102.42,118,-0.01386,30.5223,1.38629,-165.82,73.5
272,-127.49,105,-0.01386,9.76849,1.38629,-163.94,73.7
273,-98.44,76,-0.01386,55.28772,1.38629,-164.07,74.0
274,-163.01,109,-0.01386,23.97553,1.38629,-164.11,74.2
275,-122.85,89,-0.01386,44.96674,1.38629,-162.76,74.5
276,-115.82,108,-0.01386,19.83524,1.38629,-163.35,74.7
277,-145.67,64,-0.01386,24.68607,1.38629,-162.82,74.9
278,-322.37,87,-0.01386,987.38812,1.38629,-165.3,75.1
279,-248.44,83,-0.01386,72.27989,1.38627,-167.86,75.3
280,-154.8,101,-0.01386,55.50034,1.38628,-168.45,75.6
281,-21.88,106,-0.01386,264.3445,1.38625,-166.46,75.9
282,-144.48,83,-0.01386,28.52613,1.38628,-164.05,76.1
283,-245.55,67,-0.01386,52.81309,1.38629,-165.46,76.2
284,-164.19,137,-0.01386,25.00453,1.38628,-166.34,76.6
285,-310.46,103,-0.01386,39.16538,1.38621,-168.26,76.9
286,-106.54,91,-0.01386,28.25475,1.38629,-168.5,77.1
287,-172.1,113,-0.01386,72.92433,1.38626,-168.99,77.4
288,-130.42,98,-0.01386,20.26604,1.38621,-168.55,77.7
289,-118.09,78,-0.01386,18.95701,1.38619,-168.44,77.9
290,-30.83,126,-0.01386,157.26138,1.38629,-167.77,78.2
291,-191.03,94,-0.01386,24.86423,1.38629,-168.74,78.5
292,-253.62,105,-0.01386,49.63055,1.38628,-167.98,78.8
293,-144.74,96,-0.01386,25.76599,1.38628,-169.35,79.0
294,-163.51,100,-0.01386,17.62645,1.38626,-169.11,79.2
295,-132.87,79,-0.01386,17.6066,1.38628,-169.26,79.4
296,-135.92,85,-0.01386,19.82793,1.38629,-166.29,79.7
297,-435.88,114,-0.01386,96.76282,1.38629,-168.32,80.0
298,-108.65,85,-0.01386,22.62601,1.38629,-167.42,80.2
299,-106.36,112,-0.01386,157.46879,1.38629,-167.28,80.5
300,-123.03,100,-0.01386,17.85373,1.38626,-168.18,80.7
301,-90.7,66,-0.01386,44.37504,1.38629,-167.72,80.9
302,-64.69,89,-0.01386,147.87605,1.38629,-164.02,81.1
303,-129.09,74,-0.01386,20.18352,1.38629,-163.4,81.3
304,-68.25,70,-0.01386,33.82863,1.38629,-162.59,81.5
305,-311.5,92,-0.01386,56.21676,1.38629,-164.35,81.7
306,-139.68,118,-0.01386,15.74264,1.38629,-165.13,82.0
307,-145.81,103,-0.01386,21.09012,1.38629,-164.84,82.3
308,-154.12,68,-0.01386,20.42612,1.38628,-161.48,82.4
309,-259.57,80,-0.01386,54.07401,1.38629,-163.48,82.7
310,-135.32,129,-0.01386,14.12903,1.38629,-161.19,83.0
311,-79.45,64,-0.01386,25.45186,1.38629,-160.95,83.2
312,-132.3,83,-0.01386,30.59636,1.38629,-161.09,83.4
313,-101.04,75,-0.01386,21.60314,1.38629,-161.22,83.6
314,-227.15,66,-0.01386,44.05712,1.38629,-161.72,83.7
315,-261.0,138,-0.01386,26.80285,1.38629,-161.88,84.1
316,-129.69,115,-0.01386,24.93531,1.38629,-160.44,84.3
317,-271.78,72,-0.01386,715.17335,1.38629,-160.19,84.5
318,-399.86,96,-0.01386,78.35028,1.38627,-163.2,84.7
319,-340.44,94,-0.01386,381.74159,1.38629,-165.22,85.0
320,-112.41,61,-0.01386,31.01596,1.38628,-165.01,85.1
321,-403.2,88,-0.01386,435.07892,1.38628,-167.28,85.4
322,-291.34,106,-0.01386,281.80227,1.38622,-170.09,85.6
323,-363.01,96,-0.01386,498.62897,1.38615,-172.89,85.9
324,-351.29,132,-0.01386,59.54695,1.38621,-175.03,86.2
325,-149.35,132,-0.01386,15.86529,1.38624,-173.35,86.5
326,-68.51,100,-0.01386,42.97827,1.38622,-172.97,86.7
327,-101.34,61,-0.01386,28.96416,1.38624,-173.01,86.9
328,-150.88,66,-0.01386,16.32349,1.38619,-171.87,87.1
329,-360.94,89,-0.01386,265.84265,1.38625,-174.15,87.3
330,-151.47,82,-0.01386,20.00877,1.38627,-172.55,87.5
331,-94.28,67,-0.01386,25.59468,1.38625,-172.27,87.7
332,-101.88,70,-0.01386,23.04831,1.38614,-169.05,87.8
333,-221.88,92,-0.01386,18.20768,1.38629,-170.14,88.1
334,-122.97,88,-0.01386,18.58973,1.38628,-169.61,88.3
335,-195.19,127,-0.01386,9.24999,1.38627,-170.56,88.6
336,-81.68,61,-0.01386,101.45623,1.38628,-171.71,88.8
337,-231.46,77,-0.01386,100.48185,1.38619,-170.55,89.0
338,-140.93,81,-0.01386,18.29237,1.38627,-170.47,89.2
339,-119.11,65,-0.01386,9.26635,1.38624,-169.44,89.3
340,-164.05,98,-0.01386,10.60468,1.38625,-169.65,89.6
341,-236.59,84,-0.01386,18.72263,1.38627,-171.3,89.8
342,-307.16,73,-0.01386,51.1073,1.38627,-172.7,90.0
343,-314.32,109,-0.01386,25.78258,1.38628,-172.35,90.2
344,-366.24,116,-0.01386,35.55441,1.38628,-174.72,90.5
345,-149.53,97,-0.01386,15.45811,1.38625,-173.04,90.8
346,-107.06,67,-0.01386,33.78352,1.38628,-171.91,90.9
347,-217.63,94,-0.01386,9.19102,1.38629,-171.43,91.2
348,-121.56,83,-0.01386,21.22136,1.38629,-171.55,91.4
349,-291.51,102,-0.01386,15.73608,1.38627,-173.51,91.6
350,-76.2,71,-0.01386,57.09365,1.38628,-173.23,91.8
351,-103.99,80,-0.01386,96.0549,1.38627,-173.53,92.0
352,-79.44,59,-0.01386,38.02939,1.38628,-173.14,92.2
353,-274.26,106,-0.01386,212.45846,1.38629,-174.7,92.5
354,-311.95,103,-0.01386,30.22485,1.38629,-177.05,92.7
355,-95.51,89,-0.01386,35.25254,1.38629,-177.31,92.9
356,-127.03,83,-0.01386,18.26159,1.38629,-176.32,93.2
357,-140.59,100,-0.01386,10.98124,1.38629,-176.57,93.4
358,-109.8,58,-0.01386,28.60773,1.38629,-174.57,93.5
359,-319.9,122,-0.01386,21.61283,1.38629,-176.36,93.8
360,-106.52,106,-0.01386,26.53944,1.38629,-176.65,94.1
361,-143.89,109,-0.01386,15.51521,1.38629,-175.93,94.4
362,-297.69,104,-0.01386,36.996,1.38629,-176.85,94.6
363,-229.9,79,-0.01386,19.51564,1.38629,-178.6,94.8
364,-392.96,83,-0.01386,97.11722,1.38629,-181.73,95.0
365,-154.28,93,-0.01386,64.29864,1.38629,-182.94,95.3
366,-87.44,71,-0.01386,32.94541,1.38629,-180.88,95.4
367,-188.74,79,-0.01386,62.48009,1.38629,-179.36,95.6
368,-63.39,65,-0.01386,139.86801,1.38629,-178.92,95.8
369,-257.36,95,-0.01386,31.79793,1.38629,-180.56,96.0
370,-519.37,95,-0.01386,130.5475,1.38629,-184.52,96.2
371,-365.87,116,-0.01386,59.57561,1.38629,-187.15,96.5
372,-292.53,84,-0.01386,44.84924,1.38629,-188.8,96.7
373,-12.31,76,-0.01386,271.27993,1.38629,-187.94,96.9
374,-292.81,94,-0.01386,25.67915,1.38629,-189.24,97.2
375,-145.49,117,-0.01386,25.36433,1.38629,-189.47,97.5
376,-108.34,98,-0.01386,34.67395,1.38629,-189.39,97.7
377,-103.02,85,-0.01386,57.90656,1.38629,-188.97,97.9
378,-117.19,104,-0.01386,27.34477,1.38629,-186.91,98.2
379,-260.06,98,-0.01386,11.78115,1.38629,-187.03,98.5
380,-110.59,93,-0.01386,42.2083,1.38629,-186.59,98.7
381,12.97,85,-0.01386,504.87319,1.38629,-186.24,98.9
382,-108.84,112,-0.01386,27.28734,1.38629,-185.88,99.2
383,-98.66,70,-0.01386,33.21177,1.38629,-184.41,99.4
384,-79.13,133,-0.01386,38.43092,1.38629,-183.56,99.7
385,-70.05,66,-0.01386,47.63636,1.38629,-181.16,99.9
386,-71.9,83,-0.01386,31.76084,1.38629,-180.81,100.1
387,-156.45,82,-0.01386,43.26108,1.38629,-180.66,100.3
388,-461.4,86,-0.01386,154.09689,1.38629,-183.97,100.5
389,-289.38,141,-0.01386,33.72713,1.38629,-185.68,100.9
390,-134.42,77,-0.01386,8.01184,1.38629,-186.71,101.0
391,-273.35,80,-0.01386,60.61659,1.38629,-187.54,101.3
392,-263.82,87,-0.01386,21.97136,1.38629,-187.64,101.5
393,-239.83,69,-0.01386,24.49315,1.38629,-188.59,101.6
394,-354.93,86,-0.01386,75.1843,1.38629,-190.51,101.8
395,3.51,89,-0.01386,632.04901,1.38629,-189.14,102.1
396,-16.1,147,-0.01386,202.38454,1.38629,-187.94,102.4
397,-79.92,93,-0.01386,29.42383,1.38629,-184.38,102.6
398,-429.19,95,-0.01386,364.36245,1.38629,-187.59,102.9
399,-378.77,123,-0.01386,590.34617,1.38627,-190.31,103.2
400,-253.57,78,-0.01386,108.44079,1.38627,-191.62,103.4
401,-121.2,106,-0.01386,31.90096,1.38628,-191.92,103.7
402,-203.67,90,-0.01386,18.86964,1.38627,-193.31,103.9
403,-336.71,94,-0.01386,43.7171,1.38628,-195.39,104.1
404,-55.9,82,-0.01386,257.9657,1.38628,-195.27,104.3
405,-120.51,116,-0.01386,19.6572,1.38629,-193.36,104.6
406,-227.68,99,-0.01386,15.00774,1.38628,-194.24,104.8
407,-97.13,88,-0.01386,25.86321,1.38629,-193.75,105.1
408,-76.59,105,-0.01386,469.19579,1.38629,-192.97,105.3
