episode,reward,length,loss
159,-110.67993228625478,109,-2.5876998901367188
160,-119.83953400300182,94,-3.360865831375122
161,-135.5148422862733,84,-1.210376501083374
162,-80.12057162509397,81,-3.3585710525512695
163,-218.68334484666804,109,-1.2709451913833618
164,-142.30547027832796,129,-0.20453667640686035
165,-188.25422408310428,104,1.1817141771316528
166,-295.038391037589,162,-3.6498866081237793
167,-96.45572313933289,76,-3.0231289863586426
168,-128.86342247296048,100,2.273906707763672
169,-151.6332527802059,91,-2.814096212387085
170,-85.43677202519822,127,2.654693126678467
171,-60.39037336253088,107,-1.210544228553772
172,-122.68296875031257,77,0.20856636762619019
173,-113.65026609846376,86,-1.1918456554412842
174,-208.42316134414708,122,-3.805849552154541
175,-357.05180297698706,121,-2.7300662994384766
176,-174.57374953975219,119,0.9883627891540527
177,-89.75433300490786,153,3.129998207092285
178,-157.60155286092333,91,-3.645928382873535
179,-290.94150609950617,132,-2.5388004779815674
180,-205.47250659902647,92,-2.3586950302124023
181,-74.41111063895704,103,-0.5036365985870361
182,-113.74438706429115,126,-1.9668164253234863
183,-71.33959193311956,157,-0.8684842586517334
184,-253.03167429560747,98,-3.975292205810547
185,-132.81023461001675,128,-0.7519747018814087
186,-66.43652391195849,76,-1.924551248550415
187,-70.57043748768729,73,-2.953190565109253
188,-203.65833768860074,134,-0.4121326208114624
189,-112.40773699155014,86,-0.35377538204193115
190,-0.07244682242797751,85,-3.0829105377197266
191,-116.69863011831438,101,-0.96832275390625
192,-115.41282933199722,108,-1.5653364658355713
193,-213.08514728241244,98,-4.757922172546387
194,-98.01633924582285,138,-3.809810161590576
195,-84.33016351033906,69,-1.9778661727905273
196,-227.13942562219302,142,-1.4178870916366577
197,-147.81834162980977,116,-3.3545939922332764
198,-179.56905169387352,154,-4.58077335357666
199,-116.6096551665536,145,2.943190574645996
200,-87.77138632396476,80,0.34961628913879395
201,-103.38652057940944,125,-0.1796255111694336
202,-350.3492963883077,109,0.7186075448989868
203,-74.97754790452615,118,3.628361701965332
204,-51.396417232429954,96,-0.5562584400177002
